id,Origen,Destino,Latencia_ms
1,R1,R2,12
2,R1,R3,8
3,R2,R1,10
4,R2,R4,15
5,R3,R5,9
6,R4,R6,18
7,R4,R7,11
8,R5,R1,25
9,R5,R8,14
10,R6,R4,5
11,R6,R9,22
12,R7,R10,16
13,R8,R7,3
14,R8,R11,20
15,R9,R12,17
16,R10,R13,4
17,R11,R14,13
18,R12,R9,6
19,R12,R15,28
20,R13,R15,7
21,R14,R11,9
22,R14,R10,2
23,R15,R13,11
24,R15,R1,30
25,R13,R8,15
26,R16,R1,55
27,R16,R17,10
28,R17,R16,62
29,R17,R2,8
30,R18,R10,95
31,R18,R19,12
32,R19,R18,70
33,R19,R5,15
34,R20,R1,85
35,R20,R10,20
36,R1,R16,60
37,R2,R17,18
38,R3,R18,75
39,R4,R19,25
40,R5,R20,88
41,R6,R16,30
42,R11,R17,52
43,R12,R18,45
44,R13,R19,90
45,R14,R20,35
